job_id,company,position
38ca0e3f49e83c66,UnitedHealthcare,Senior Provider Data Analyst - Telecommute
b4f4bd995b2c1d28,Accenture,Data Science Consultant - Supply Chain
4689471a24243486,KPMG,"Senior Specialist, Federal Data Scientist"
2de82437528b73de,University of Texas at Arlington,Data Science Specialist (S03695P)
3feb1a3b2b7f7484,,Sr. Data Modeler/Data Analyst
083e6be0600aed76,Deloitte,Data Scientist
64a9a09e1d1b3b18,"JPMorgan Chase Bank, N.A.",Workforce Data Product Manager-VP
2310f30cb5b1a12f,"JPMorgan Chase Bank, N.A.",Sr. Data Analyst / Data Modeler
4acf024bfa44995e,,Data Plane Engineer
60e82b818973ca8a,"JPMorgan Chase Bank, N.A.","VP, Portfolio Risk Modeling - Auto - CBB"
f86b48a218eb9cf7,Epsilon,Senior Data Analyst
7d9909d4caa82c17,Fisher Investments,Data Science Associate
7ea14326336847f1,The Hartford,Senior Data Scientist
bb936f6b2d0e1a2f,The Coca-Cola Company,Data Scientist 1
b63c26919d0c49fa,LOCKHEED MARTIN CORPORATION,Data Scientist
9c31819b8203a858,Aramco Services Company,Petroleum Engineer | Data Scientist (681177)
4ee5a778e88956f2,KPMG,"Senior Specialist, Federal Data Scientist"
43f806cf378f90bb,Accenture,Data Science Consultant - Supply Chain
2730634a54b82bb0,Insight Global,Lead Data Engineer
31ac3bd052268371,Baylor College of Medicine,"Postdoctoral Associate- Protein Engineering, Electrophysiology, Optics, or Machine Learning"
f68d797c7aee8fcf,Schlumberger,Data Engineer
2145381c2a22bbb3,Deloitte,Data Scientist
32da110db06e610e,"JPMorgan Chase Bank, N.A.",Machine Learning - Site Reliability Engineer
16f2c0b6c1861831,Tessella,"Data Scientist - Bioinformatics, Genomics"
8188644ef2f08b55,Tessella,Senior Data Scientist - Energy & Utilities
d78e4b38a8989fb2,Bain & Company,"Senior Director, Machine Learning, Global Engineering"
43bcee3163bc38b9,Transwestern,Senior Data Scientist
c48d20829c4243fa,LyondellBasell Industries,Data Scientist III
3c3dcac1a9433c38,Insight Global,"Director, Data Science"
25101b55cd69a1fc,"JPMorgan Chase Bank, N.A.",Machine Learning Project Execution
f8d9749866727c66,,DevOps/Data Science - Master Requires Secret Clearance or higher
9d91c82ac922ca95,,Artificial Intelligence & Machine Learning Engineer
a01db90058fafa72,Blue Yonder,Data Science Consultant II
37b3c86412168ce5,,Product Manager – Data Science & Engineering
3d796477de1b8ea7,,Sr. Data Scientist
70f2e8abe00da5b8,"JPMorgan Chase Bank, N.A.",Data Scientist Lead
8b2610ef1f43fb64,Toyota,"MLOps Engineer, Toyota Data Science Platform"
e6c295de29361fd1,,Statistical Programmer II / Senior Statistical Programmer
7af3173c86d5c9b3,,Computer Vision/Machine Learning Engineer (FT)
47eabe57c4a1faba,Interior Logic Group,"Senior Data Engineer, Data Science & Engineering"
7e3f8d42e641cf3e,EY,Staff - National Tax - Tax Technology & Transformation - Advanced Technologies - Data Scientist
9b018af12b14f8cb,Tricolor Auto Group,Jr. Data Scientist
bf6a4debbd8a7126,Pinnacle Technical Resources,Data Scientist (Entry-Level)
e4695150c8370bca,Walmart,Staff Data Scientist - NLP
cae6648b4b7aba12,Deloitte,Strategic Analytics Lead Data Scientist
